YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2016,5,1,1.83
2016,5,2,3.31
2016,5,3,4.02
2016,5,4,4.61
2016,5,5,4.63
2016,5,6,4.58
2016,5,7,4.38
2016,5,8,4.14
2016,5,9,3.97
2016,5,10,2.4
2016,5,11,2.59
2016,5,12,4.91
2016,5,13,4.57
2016,5,14,3.94
2016,5,15,4.54
2016,5,16,4.45
2016,5,17,4.23
2016,5,18,4.32
2016,5,19,3.37
2016,5,20,4.35
2016,5,21,3.54
2016,5,22,3.31
2016,5,23,4.18
2016,5,24,4.32
2016,5,25,4.56
2016,5,26,4.02
2016,5,27,3.64
2016,5,28,4.37
2016,5,29,4.17
2016,5,30,3.99
2016,5,31,2.65
2016,6,1,1.67
2016,6,2,1.9
2016,6,3,1.54
2016,6,4,0.51
2016,6,5,3.65
2016,6,6,2.19
2016,6,7,4.09
2016,6,8,3.99
2016,6,9,3.9
2016,6,10,3.41
2016,6,11,3.08
2016,6,12,1.78
2016,6,13,2.58
2016,6,14,2.92
2016,6,15,2.67
2016,6,16,3.27
2016,6,17,2.6
2016,6,18,2.15
2016,6,19,0.9
2016,6,20,3.74
2016,6,21,3.04
2016,6,22,1.85
2016,6,23,1.51
2016,6,24,3.12
2016,6,25,4.13
2016,6,26,2.42
2016,6,27,1.91
2016,6,28,3.98
2016,6,29,3.83
2016,6,30,3.8
2016,7,1,3.98
2016,7,2,3.99
2016,7,3,4.02
2016,7,4,3.47
2016,7,5,1.43
2016,7,6,4.12
2016,7,7,4.06
2016,7,8,3.94
2016,7,9,3.99
2016,7,10,3.88
2016,7,11,2.43
2016,7,12,2.22
2016,7,13,2.78
2016,7,14,2
2016,7,15,1.57
2016,7,16,0.92
2016,7,17,2.61
2016,7,18,3.2
2016,7,19,3.98
2016,7,20,3.54
2016,7,21,3.61
2016,7,22,3.94
2016,7,23,4.09
2016,7,24,4.41
2016,7,25,4.34
2016,7,26,2.72
2016,7,27,1.97
2016,7,28,4.48
2016,7,29,4.44
2016,7,30,4.68
2016,7,31,4.57
2016,8,1,4.65
2016,8,2,2.66
2016,8,3,4.19
2016,8,4,3.1
2016,8,5,4.05
2016,8,6,3.48
2016,8,7,3.98
2016,8,8,4.09
2016,8,9,4.29
2016,8,10,4.5
2016,8,11,4.37
2016,8,12,4.37
2016,8,13,4.84
2016,8,14,4.64
2016,8,15,4.25
2016,8,16,4.48
2016,8,17,4.07
2016,8,18,3.39
2016,8,19,4.42
2016,8,20,4.52
2016,8,21,5.25
2016,8,22,4.68
2016,8,23,4.27
2016,8,24,1.27
2016,8,25,5.14
2016,8,26,5.13
2016,8,27,5.62
2016,8,28,5.64
2016,8,29,5.37
2016,8,30,4.99
2016,8,31,3.39
2016,9,1,4.31
2016,9,2,3.94
2016,9,3,5.58
2016,9,4,5.93
2016,9,5,4.71
2016,9,6,3.95
2016,9,7,4.55
2016,9,8,5
2016,9,9,4.25
2016,9,10,3.47
2016,9,11,5.87
2016,9,12,5.63
2016,9,13,5.19
2016,9,14,5.29
2016,9,15,3.11
2016,9,16,5.57
2016,9,17,5.77
2016,9,18,2.16
2016,9,19,3.23
2016,9,20,6.07
2016,9,21,1.92
2016,9,22,6.66
2016,9,23,6.81
2016,9,24,6.72
2016,9,25,4.73
2016,9,26,6.9
2016,9,27,5.86
2016,9,28,6.88
2016,9,29,2.36
2016,9,30,7.27
2016,10,1,7.35
2016,10,2,7.03
2016,10,3,2.14
2016,10,4,7.34
2016,10,5,7.46
2016,10,6,7.43
2016,10,7,7.19
2016,10,8,6.54
2016,10,9,5.15
2016,10,10,7.08
2016,10,11,6.01
2016,10,12,5.48
2016,10,13,6.63
2016,10,14,6.79
2016,10,15,6.92
2016,10,16,7.76
2016,10,17,6.35
2016,10,18,7.82
2016,10,19,7.73
2016,10,20,6.02
2016,10,21,7.19
2016,10,22,5.9
2016,10,23,2.85
2016,10,24,7.4
2016,10,25,7.66
2016,10,26,7.41
2016,10,27,6.76
2016,10,28,7.01
2016,10,29,6.74
2016,10,30,7.23
2016,10,31,3.9
2016,11,1,3.7
2016,11,2,8.27
2016,11,3,6.48
2016,11,4,7.72
2016,11,5,8.16
2016,11,6,8.09
2016,11,7,7.47
2016,11,8,7.05
2016,11,9,6.14
2016,11,10,7.34
2016,11,11,6.9
2016,11,12,5.04
2016,11,13,5.98
2016,11,14,8.17
2016,11,15,7.03
2016,11,16,8
2016,11,17,6.75
2016,11,18,7.88
2016,11,19,5.88
2016,11,20,8.22
2016,11,21,8.52
2016,11,22,8.06
2016,11,23,8
2016,11,24,8.18
2016,11,25,7.7
2016,11,26,4.48
2016,11,27,6.93
2016,11,28,8.04
2016,11,29,8.33
2016,11,30,7.51
2016,12,1,7.37
2016,12,2,8.15
2016,12,3,6.68
2016,12,4,7.82
2016,12,5,7.82
2016,12,6,6.3
2016,12,7,4.14
2016,12,8,4.31
2016,12,9,2.44
2016,12,10,5.67
2016,12,11,5.51
2016,12,12,7.52
2016,12,13,8.69
2016,12,14,8.78
2016,12,15,8.41
2016,12,16,6.56
2016,12,17,8.07
2016,12,18,4.76
2016,12,19,4.22
2016,12,20,7.21
2016,12,21,7.26
2016,12,22,5.65
2016,12,23,6.36
2016,12,24,7.19
2016,12,25,4.82
2016,12,26,6.88
2016,12,27,7.81
2016,12,28,8.31
2016,12,29,8.4
2016,12,30,8.6
2016,12,31,8.39
2017,1,1,8.18
2017,1,2,7.44
2017,1,3,2.99
2017,1,4,4.71
2017,1,5,6.08
2017,1,6,6.25
2017,1,7,7.03
2017,1,8,7.91
2017,1,9,6.86
2017,1,10,8.09
2017,1,11,7.83
2017,1,12,7.34
2017,1,13,7.55
2017,1,14,8.2
2017,1,15,3.88
2017,1,16,7.92
2017,1,17,7.86
2017,1,18,8.49
2017,1,19,5.88
2017,1,20,6.54
2017,1,21,3.3
2017,1,22,6.54
2017,1,23,6.43
2017,1,24,8.67
2017,1,25,8.21
2017,1,26,6.88
2017,1,27,4.43
2017,1,28,7.33
2017,1,29,7.91
2017,1,30,8.1
2017,1,31,8.22
2017,2,1,8.3
2017,2,2,7.99
2017,2,3,7.81
2017,2,4,7.21
2017,2,5,7.39
2017,2,6,7.89
2017,2,7,7.7
2017,2,8,6.96
2017,2,9,7.04
2017,2,10,7.68
2017,2,11,7.69
2017,2,12,7.95
2017,2,13,5.42
2017,2,14,6.16
2017,2,15,7.1
2017,2,16,7.22
2017,2,17,7.58
2017,2,18,7.35
2017,2,19,5.45
2017,2,20,6.76
2017,2,21,6.93
2017,2,22,5.54
2017,2,23,6.54
2017,2,24,7.44
2017,2,25,7.19
2017,2,26,5.84
2017,2,27,4.51
2017,2,28,6.25
2017,3,1,6.67
2017,3,2,6.27
2017,3,3,6.68
2017,3,4,4.82
2017,3,5,6.42
2017,3,6,6.67
2017,3,7,7.02
2017,3,8,4.02
2017,3,9,6.72
2017,3,10,6.93
2017,3,11,6.62
2017,3,12,6.36
2017,3,13,3.35
2017,3,14,3.7
2017,3,15,2.78
2017,3,16,4.2
2017,3,17,5.71
2017,3,18,6.14
2017,3,19,4.6
2017,3,20,2.66
2017,3,21,4.1
2017,3,22,3.08
2017,3,23,3.47
2017,3,24,4.63
2017,3,25,5.12
2017,3,26,5.74
2017,3,27,5.41
2017,3,28,6.16
2017,3,29,3.8
2017,3,30,0.74
2017,3,31,4.38
2017,4,1,5.48
2017,4,2,4.07
2017,4,3,4.39
2017,4,4,4.91
2017,4,5,4.43
2017,4,6,3.37
2017,4,7,5.29
2017,4,8,4.76
2017,4,9,5.37
2017,4,10,5.86
2017,4,11,5.96
2017,4,12,5.24
2017,4,13,4.95
2017,4,14,4.41
2017,4,15,4.84
2017,4,16,5.16
2017,4,17,5.19
2017,4,18,4.89
2017,4,19,4.7
2017,4,20,4.63
2017,4,21,4.01
2017,4,22,3.9
2017,4,23,4.76
2017,4,24,4.3
2017,4,25,4.69
2017,4,26,2.1
2017,4,27,5.28
2017,4,28,4.37
2017,4,29,4.84
2017,4,30,4.45
2017,5,1,4.68
2017,5,2,4.48
2017,5,3,4.3
2017,5,4,3.11
2017,5,5,4.36
2017,5,6,4.27
2017,5,7,4.45
2017,5,8,1.96
2017,5,9,3.68
2017,5,10,0.86
2017,5,11,4.13
2017,5,12,3.45
2017,5,13,2.53
2017,5,14,1.95
2017,5,15,4.33
2017,5,16,4.45
2017,5,17,3.61
2017,5,18,2.37
2017,5,19,1.31
2017,5,20,3.06
2017,5,21,3.87
2017,5,22,3.96
2017,5,23,4.09
2017,5,24,4.07
2017,5,25,3.99
2017,5,26,4.03
2017,5,27,3.38
2017,5,28,4.02
2017,5,29,4.12
2017,5,30,3.57
2017,5,31,4.18
2017,6,1,3.88
2017,6,2,4.01
2017,6,3,3.86
2017,6,4,3.76
2017,6,5,3.98
2017,6,6,3.91
2017,6,7,3.98
2017,6,8,3.95
2017,6,9,3.26
2017,6,10,3.06
2017,6,11,2.35
2017,6,12,2.61
2017,6,13,0.94
2017,6,14,2.47
2017,6,15,2.64
2017,6,16,2.38
2017,6,17,2.49
2017,6,18,3.64
2017,6,19,2.62
2017,6,20,3.14
2017,6,21,3.47
2017,6,22,3.39
2017,6,23,3.58
2017,6,24,3.75
2017,6,25,3.66
2017,6,26,3.74
2017,6,27,2.34
2017,6,28,2.87
2017,6,29,3.64
2017,6,30,3.65
2017,7,1,4.09
2017,7,2,3.87
2017,7,3,3.51
2017,7,4,3.73
2017,7,5,3.9
2017,7,6,3.93
2017,7,7,1.07
2017,7,8,4.17
2017,7,9,3.85
2017,7,10,2.83
2017,7,11,3.47
2017,7,12,3.5
2017,7,13,3.42
2017,7,14,3.97
2017,7,15,3.95
2017,7,16,3.17
2017,7,17,3.95
2017,7,18,4.12
2017,7,19,4.31
2017,7,20,4.37
2017,7,21,4.45
2017,7,22,4.3
2017,7,23,4.48
2017,7,24,4.53
2017,7,25,4.61
2017,7,26,4.58
2017,7,27,4.52
2017,7,28,4.21
2017,7,29,4.58
2017,7,30,4.6
2017,7,31,4.42
2017,8,1,4.67
2017,8,2,4.44
2017,8,3,3.61
2017,8,4,4.66
2017,8,5,4.76
2017,8,6,3.54
2017,8,7,4.25
2017,8,8,5.12
2017,8,9,5.15
2017,8,10,4.95
2017,8,11,4.94
2017,8,12,4.13
2017,8,13,4.84
2017,8,14,4.31
2017,8,15,4.95
2017,8,16,5
2017,8,17,4.91
2017,8,18,5.41
2017,8,19,5.46
2017,8,20,5.26
2017,8,21,3.78
2017,8,22,4.8
2017,8,23,4.62
2017,8,24,2.95
2017,8,25,4.68
2017,8,26,5.14
2017,8,27,4.64
2017,8,28,5.84
2017,8,29,5.3
2017,8,30,5.53
2017,8,31,5.31
2017,9,1,5.6
2017,9,2,5.46
2017,9,3,5.27
2017,9,4,5.4
2017,9,5,6.2
2017,9,6,6.33
2017,9,7,6.4
2017,9,8,6.33
2017,9,9,6.33
2017,9,10,5.82
2017,9,11,5.8
2017,9,12,5.97
2017,9,13,5.9
2017,9,14,5.29
2017,9,15,6.74
2017,9,16,6.34
2017,9,17,5.21
2017,9,18,5.9
2017,9,19,6.19
2017,9,20,6.12
2017,9,21,5.59
2017,9,22,5.75
2017,9,23,6.06
2017,9,24,6.11
2017,9,25,5.77
2017,9,26,5.55
2017,9,27,2.93
2017,9,28,6.44
2017,9,29,6.33
2017,9,30,6.28
2017,10,1,2.6
2017,10,2,1.54
2017,10,3,4.2
2017,10,4,5.29
2017,10,5,6.67
2017,10,6,6.22
2017,10,7,3.03
2017,10,8,5.7
2017,10,9,5.39
2017,10,10,6.46
2017,10,11,4.51
2017,10,12,2.27
2017,10,13,6.16
2017,10,14,2.05
2017,10,15,2.92
2017,10,16,2.34
2017,10,17,2.05
2017,10,18,4.07
2017,10,19,5
2017,10,20,5.57
2017,10,21,1.38
2017,10,22,7.4
2017,10,23,5.04
2017,10,24,7.34
2017,10,25,7.78
2017,10,26,7.49
2017,10,27,7.7
2017,10,28,7.3
2017,10,29,7.36
2017,10,30,6.24
2017,10,31,7.49
