YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_NKT
2020,12,12,1.1,0.44
2020,12,13,3.09,1.23
2020,12,14,1.96,0.78
2020,12,15,2.8,1.12
2020,12,16,2.6,1.05
2020,12,17,2.18,0.88
2020,12,18,2.12,0.85
2020,12,19,2.99,1.2
2020,12,20,2.51,1.01
2020,12,21,3.12,1.26
2020,12,22,2.62,1.05
2020,12,23,2,0.8
2020,12,24,3.14,1.27
2020,12,25,2.99,1.2
2020,12,26,3.06,1.23
2020,12,27,2.48,0.99
2020,12,28,1.4,0.55
2020,12,29,2.62,1.04
2020,12,30,3.14,1.24
2020,12,31,3,1.18
